device,storage,scenario,implementation,scheduler_threads,elapsed_time(ms)
omen,maps,r,central,1,58.0
omen,maps,r,central,10,61.0
omen,maps,r,central,11,59.0
omen,maps,r,central,12,59.0
omen,maps,r,central,13,60.0
omen,maps,r,central,14,61.0
omen,maps,r,central,15,59.0
omen,maps,r,central,16,60.0
omen,maps,r,central,17,63.0
omen,maps,r,central,18,59.0
omen,maps,r,central,19,60.0
omen,maps,r,central,2,60.0
omen,maps,r,central,20,60.0
omen,maps,r,central,21,61.0
omen,maps,r,central,22,60.0
omen,maps,r,central,23,59.0
omen,maps,r,central,24,61.0
omen,maps,r,central,25,61.0
omen,maps,r,central,26,60.0
omen,maps,r,central,27,60.0
omen,maps,r,central,28,61.0
omen,maps,r,central,29,61.0
omen,maps,r,central,3,58.0
omen,maps,r,central,30,60.0
omen,maps,r,central,31,59.0
omen,maps,r,central,32,61.0
omen,maps,r,central,33,60.0
omen,maps,r,central,34,61.0
omen,maps,r,central,35,61.0
omen,maps,r,central,36,60.0
omen,maps,r,central,37,60.0
omen,maps,r,central,38,62.0
omen,maps,r,central,39,59.0
omen,maps,r,central,4,58.0
omen,maps,r,central,40,61.0
omen,maps,r,central,41,60.0
omen,maps,r,central,42,61.0
omen,maps,r,central,43,61.0
omen,maps,r,central,44,61.0
omen,maps,r,central,45,61.0
omen,maps,r,central,46,62.0
omen,maps,r,central,47,61.0
omen,maps,r,central,48,60.0
omen,maps,r,central,49,60.0
omen,maps,r,central,5,59.0
omen,maps,r,central,50,62.0
omen,maps,r,central,51,60.0
omen,maps,r,central,52,60.0
omen,maps,r,central,53,60.0
omen,maps,r,central,54,62.0
omen,maps,r,central,55,61.0
omen,maps,r,central,56,62.0
omen,maps,r,central,57,59.0
omen,maps,r,central,58,60.0
omen,maps,r,central,59,61.0
omen,maps,r,central,6,60.0
omen,maps,r,central,60,61.0
omen,maps,r,central,61,60.0
omen,maps,r,central,62,60.0
omen,maps,r,central,63,60.0
omen,maps,r,central,64,60.0
omen,maps,r,central,7,61.0
omen,maps,r,central,8,60.0
omen,maps,r,central,9,60.0
omen,maps,r,shard,1,42.0
omen,maps,r,shard,10,42.0
omen,maps,r,shard,11,45.0
omen,maps,r,shard,12,42.0
omen,maps,r,shard,13,42.0
omen,maps,r,shard,14,42.0
omen,maps,r,shard,15,42.0
omen,maps,r,shard,16,43.0
omen,maps,r,shard,17,42.0
omen,maps,r,shard,18,43.0
omen,maps,r,shard,19,44.0
omen,maps,r,shard,2,41.0
omen,maps,r,shard,20,42.0
omen,maps,r,shard,21,42.0
omen,maps,r,shard,22,43.0
omen,maps,r,shard,23,43.0
omen,maps,r,shard,24,43.0
omen,maps,r,shard,25,42.0
omen,maps,r,shard,26,43.0
omen,maps,r,shard,27,42.0
omen,maps,r,shard,28,42.0
omen,maps,r,shard,29,44.0
omen,maps,r,shard,3,42.0
omen,maps,r,shard,30,43.0
omen,maps,r,shard,31,43.0
omen,maps,r,shard,32,43.0
omen,maps,r,shard,33,43.0
