device,storage,scenario,implementation,scheduler_threads,experiment,elapsed_time(ms),operations per client,buckets,clients,keys per bucket,keys total
omen,dict,read-only,central,1,1,713.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,2,730.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,3,722.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,4,705.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,5,717.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,6,708.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,7,716.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,8,713.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,9,705.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,10,707.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,11,706.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,12,705.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,13,708.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,14,726.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,15,712.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,16,715.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,17,714.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,18,718.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,19,710.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,20,720.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,21,714.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,22,712.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,23,709.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,24,709.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,25,706.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,26,711.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,27,717.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,28,720.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,29,704.0,1000,1000,100,100,100000
omen,dict,read-only,central,1,30,717.0,1000,1000,100,100,100000
omen,dict,read-only,central,10,1,375.0,1000,1000,100,100,100000
omen,dict,read-only,central,10,2,387.0,1000,1000,100,100,100000
omen,dict,read-only,central,10,3,323.0,1000,1000,100,100,100000
omen,dict,read-only,central,10,4,290.0,1000,1000,100,100,100000
omen,dict,read-only,central,10,5,308.0,1000,1000,100,100,100000
omen,dict,read-only,central,10,6,282.0,1000,1000,100,100,100000
omen,dict,read-only,central,10,7,283.0,1000,1000,100,100,100000
omen,dict,read-only,central,10,8,299.0,1000,1000,100,100,100000
